id;spanish;english
12.1.17;estar de oferta;to be on sale
12.1.18;tener garantía;to have a guarantee
12.1.19;tener/haber precios especiales;to have special prices
12.1.20;comprar/vender por catálogo;to buy/sell by catalog
12.1.21;comprar/vender por Internet;to buy/sell online
12.1.22;ropa;clothing
12.1.23;calzado;footwear
12.1.24;complementos;accessories
12.1.25;ropa interior;underwear
12.1.26;ropa de verano;summer clothing
12.1.27;ropa de invierno;winter clothing
12.1.28;ropa de deporte;sports' clothing
12.1.29;zapatos planos;flat shoes
12.1.30;zapatos de tacón;heeled shoes
12.1.31;zapatillas de deporte;sneakers
12.1.32;vestido/traje de fiesta;party dress/suit
12.1.33;vestido/traje de noche;evening dress/suit
12.1.34;vestido/traje de novia;wedding dress/suit
12.1.35;minifalda;miniskirt
12.1.36;falda corta/larga;short/long skirt
12.1.37;liso;plain
12.1.38;de rayas;striped
12.1.39;de cuadros;plaid/with squares
12.1.40;quedar bien;to fit well
12.1.41;quedar mal;to look bad
12.1.42;quedar ancho;to fit wide
12.1.43;quedar estrecho;to fit tight
12.1.44;quedar grande;to fit big
12.1.45;quedar pequeño;to fit small
12.1.46;quedar largo;to fit long
12.1.47;quedar corto;to fit short
12.1.48;coser;to sew
12.1.49;alimentación;food
12.1.50;carro de la compra;shopping cart
12.1.51;carrito de la compra;little shopping cart
12.1.52;cesta de la compra;shopping basket
12.1.53;bolsa de la compra;shopping bag
12.1.54;sección de congelados;frozen section
12.1.55;sección de lácteos;dairy/milk section
12.1.56;sección de bebidas;drinks section
12.1.57;loncha de jamón;a slice of jamon/ham
12.1.58;loncha de queso;a slice of cheese
12.1.59;trozo de tarta;a piece of pie
12.1.60;trozo de pan;a piece of bread
12.1.61;estar malo/caducado;to be bad/expired
12.1.62;tener/estar de oferta;to have/be an offer/on sale
12.1.63;tener/estar de promoción;to have/be a/on promotion
12.1.64;pagos;payments
12.1.65;cambio;change
12.1.66;vuelta;change
12.1.67;pagar intereses;to pay interest
12.1.68;cobrar intereses;to collect interest
12.1.69;pasar por la caja;to checkout
13.1.1;salud;health
13.1.2;enfermedades;diseases
13.1.3;seguro de enfermedad;medical insurance
13.1.4;seguro público;public insurance
13.1.5;seguro privado;private insurance
13.1.6;tener diarrea;to have a diarrhea
13.1.7;tener cáncer;to have a cancer
13.1.8;tener sida;to have AIDS
13.1.9;ponerse enfermo/malo/bien;to get sick/bad/well
13.1.10;tener buena/mala salud;to have good/bad health
13.1.11;cuidar a un enfermo;to care for a sick person
13.1.12;curar a un enfermo;to cure/treat/heal a sick person
13.1.13;hacer un régimen;to be on a diet
13.1.14;estar sano/de baja;to be healthy/on a sick leave
13.1.15;heridas;wounds
13.1.16;traumatismos;trauma
13.1.17;quemadura;burn
13.1.18;corte;cut
13.1.19;caer(se);to fall
13.1.20;dar(se) un golpe;to get hit
13.1.21;quemar(se)/cortar(se) un dedo/una mano;to burn/cut a finger/hand
13.1.22;hacerce una herida;to injure yourself
13.1.23;romperse una pierna/un brazo;to break a leg/arm
13.1.24;adelgazar;to lose weight
13.1.25;engordar;to gain weight/fat
13.1.26;síntomas;symptoms
13.1.27;estar agotado;to be exhausted
13.1.28;estar estresado;to be stressed
13.1.29;estar resfriado;to have/get a cold
13.1.30;estar mareado;to feel dizzy
13.1.31;centros de asistencia sanitaria;healthcare centers
13.1.32;doctor;doctor
13.1.33;enfermo;sick
13.1.34;clínica;clinic
13.1.35;centro de salud;health center
13.1.36;médico de guardia;doctor on call
13.1.37;hospital de guardia;hospital on call
13.1.38;farmacia de guardia;pharmacy on call
13.1.39;análisis de sangre;blood analysis
13.1.40;análisis de orina;urine analysis
13.1.41;dentista;dentist
13.1.42;ginecólogo;gynecologist
13.1.43;oculista;oculist, eye doctor
13.1.44;psicólogo;psychologist
13.1.45;cirujano;surgeon
13.1.46;paciente;patient
13.1.47;pedir hora/cita;to request an appointment
13.1.48;hacerce una revisión;to get a checkup
13.1.49;hacerse unas pruebas de sangre/de orina;to get some blood/urine tests
13.1.50;hacerce un control de sangre/de orina;to get some blood/urine checkup
13.1.51;hacerce un análisis de sangre/de orina;to get some blood/urine analysis
13.1.52;ingresar en un hospital/en urgencias;to enter hospital/emergencies dpt
13.1.53;dar de alta/baja;to register/unsubscribe
13.1.54;dar el alta/la baja (médica);to discharge/cancel
13.1.55;medicina;medicine
13.1.56;medicamentos;medications
13.1.57;tirita;band-aid
13.1.58;alcohol;alcohol
13.1.59;agua oxigenada;hydrogen peroxide
13.1.60;termómetro;thermometer
13.1.61;antibiótico;antibiotic
13.1.62;aspirina;aspirin
13.1.63;gotas;drops
13.1.64;vacuna;vaccine
13.1.65;pastilla;pill
13.1.66;darse una crema;to spread some cream
13.1.67;echarse unas gotas;to take few drops
13.1.68;ponerse una vacuna/el termómetro;to get a vaccine/put a thermometer
13.1.69;hacer/dar una receta (médica);to make/give a prescription
13.1.70;higiene;hygiene
13.1.71;cepillo;brush
13.1.72;peine;comb
13.1.73;secador de pelo;hair dryer
13.1.74;zapatillas;slippers
13.1.75;gorro de ducha/baño;shower/bath cap
13.1.76;espuma de afeitar;shaving foam
13.1.77;gel de afeitar;shaving gel
13.1.78;maquinilla de afeitar;razor
13.1.79;cuchilla de afeitar;razor blade
13.1.80;pastilla de jabón;bar of soap
13.1.81;perfume;perfume
13.1.82;estética;aesthetic
13.1.83;barra de labios;lipstick
13.1.84;corte de pelo;haircut
13.1.85;peinado;hairstyle
13.1.86;pintarse los ojos/los labios;to paint the eyes/lips
13.1.87;tener las manos/la piel suave;to have soft hands/skin
13.1.88;cortarse el pelo;to cut your hair
14.1.1;viajes;travel, trips
14.1.2;alojamiento;accomodation
14.1.3;transporte;transportation
14.1.4;objetos y documentos relacionados con los viajes;travel related objects and documents
14.1.5;DNI (Documento Nacional de Identidad);ID card
14.1.6;visado;visa
14.1.7;equipaje;luggage
14.1.8;bolsa de aseo/de viaje;toilet/travel bag
14.1.9;exceso de equipaje;excess baggage
14.1.10;mapa de carreteras;road map
14.1.11;plano turístico;tourist map
14.1.12;callejero;street map
14.1.13;anular/cambiar un billete;to cancel/change a ticket
14.1.14;facturar/perder el equipaje/las maletas;to check in/lose luggage/suitcases
14.1.15;tipos de viajes;types of trips
14.1.16;hacer un crucero/un safari;to go on a cruise/safari
14.1.17;viaje de trabajo;work trip
14.1.18;viaje de estudios;study trip
14.1.19;viaje de negocios;business trip
14.1.20;viaje de larga duración;long-term trip
14.1.21;viajar en familia/en grupo;family/group trip
14.1.22;irse/marcharse/salir de puente;to go on a long weekend
14.1.23;irse/marcharse/salir de fin de semana;to go away/out for the weekend
14.1.24;hacer/contratar un viaje organizado;to make/hire an organised trip
14.1.25;hacer turismo;sightseeing
14.1.26;subir(se) a/bajar(se) de un tren/un autobús/un avión;to get on/off a train/bus/plane
14.1.27;playa;beach
14.1.28;arena;sand
14.1.29;olas;waves
14.1.30;sandalias;flip flops
14.1.31;sombrilla;parasol, beach umbrella
14.1.32;pelota;ball
14.1.33;buceador;diver
14.1.34;tomar el sol;to sunbathe
14.1.35;pasear por la orilla;to stroll along the shore
14.1.36;jugar en la arena;to play in the sand
14.1.37;montaña;mountain
14.1.38;paseo;walk
14.1.39;montañero;mountaineer
14.1.40;senderista;hiker
14.1.41;escalador;climber
14.1.42;cazador;hunter
14.1.43;dar un/ir de paseo;to take a walk
14.1.44;hacer una marcha/una excursión;to do a walk/an excursion
14.1.45;hacer senderismo/escalada;to do hiking/climbing
14.1.46;hostal;hostel
14.1.47;pensión;pension
14.1.48;tienda de campaña;tent
14.1.49;recepción;reception
14.1.50;entrada;entrance
14.1.51;salida de emergencia;emergency exit
14.1.52;recepcionista;receptionist
14.1.53;conserje;concierge
14.1.54;saco de dormir;sleeping bag
14.1.55;manta;blanket
14.1.56;nevera portátil;cooler, portable fridge
14.1.57;ir de/hacer camping;to go to/do camping
14.1.58;haber servicio de habitaciones;to have room service
14.1.59;haber sala de reuniones;to have a meeting room
14.1.60;haber instalaciones para minusválidos;to have facilities for the disabled
14.1.61;haber aparcamiento;to have parking
14.1.62;estar completo;to be complete
14.1.63;haber plazas libres;to have free places
14.1.64;sistema de transporte;transport system
14.1.65;red de transportes;transport network
14.1.66;autopista;highway
14.1.67;vía;road
14.1.68;andén;platform
14.1.69;túnel;tunnel
14.1.70;paso de cebra/de peatones;crosswalk
14.1.71;carril bus/bici;bus/bike lane
14.1.72;haber caravana/un atasco/un embotellamiento;to have a traffic jam
14.1.73;ir/salir/llegar con retraso;to go/leave/arrive late
14.1.74;parar;to stop
14.1.75;transporte por tierra;land transport
14.1.76;viajero;traveler
14.1.77;tranvía;tram
14.1.78;moto;motorcycle
14.1.79;camión;truck
14.1.80;asiento;seat
14.1.81;fila;row
14.1.82;pasillo;aisle
14.1.83;maletero;trunk
14.1.84;cinturón;belt
14.1.85;conducir;to drive
14.1.86;aparcar;to park
14.1.87;girar;to turn
14.1.88;subir(se) a/montar(se)/bajar(se) de una bicicleta/una moto/un coche;to get on/off a bike/motorcycle/car
14.1.89;hacer transbordo;to transfer
14.1.90;perder el tren/el autobús;to miss train/bus
14.1.91;transporte marítimo y fluvial;sea and river transport
14.1.92;barca;boat
14.1.93;piragua;canoe
14.1.94;marinero;sailor
14.1.95;capitán;captain
14.1.96;navegar;to sail
14.1.97;subir(se) a/bajar(se) de un barco;to get on/off a ship
14.1.98;transporte aéreo;air transport
14.1.99;helicóptero;helicopter
14.1.100;globo;globe, hot-air baloon
14.1.101;ala delta;hang glider
14.1.102;parapente;paragliding
14.1.103;terminal;terminal
14.1.104;punto de información/de encuentro;information/meeting point
14.1.105;tarjeta/puerta de embarque;boarding pass/gate
14.1.106;sala de llegadas/de embarque;arrival/departure hall
14.1.107;ventanilla;window
14.1.108;despegar;to take off
14.1.109;aterrizar;to land
14.1.110;hacer escala;to stop over, to make a stop
14.1.111;fracturar/recoger el equipaje/las maletas;to check in/pick up luggage/suitcases
14.1.112;subir(se) a/bajar(se) de un avión;to get on/off a plane
14.1.113;conducción;driving
14.1.114;normas de circulación;traffic rules
14.1.115;tráfico;traffic
14.1.116;policía de tráfico;traffic cop, police
14.1.117;incidentes relacionados con la conducción;driving-related incidents
14.1.118;accidente de tráfico/de coche;traffic/car accident
14.1.119;haber/tener/ver un accidente;to have/see an accident
14.1.120;reparación y mantenimiento;repair and maintenance
14.1.121;gasolinera;gas station
14.1.122;gasolina sin plomo/normal/súper;gasoline without lead/normal/super
14.1.123;gasoil;diesel
14.1.124;estar estropeado;to be broken
14.1.125;arreglar el coche;to fix the car
14.1.126;seguros;insurance
14.1.127;seguro del coche/obligatorio;car/mandatory insurance
15.1.1;economía;economy
15.1.2;industria;industry
15.1.3;finanzas;finance
15.1.4;dinero;money
15.1.5;economista;economist
15.1.6;hipoteca;mortgage
15.1.7;pobreza;poverty
15.1.8;riqueza;wealth
15.1.9;Tercer Mundo;Third World
15.1.10;paises ricos/pobres/en vias de desarrollo;rich/poor/developing countries
15.1.11;tener/llevar cambio/suelto;to have/carry change/loose money (change)
15.1.12;pagar en metálico/en efectivo;to pay in cash
15.1.13;gastar;to spend
15.1.14;mercado financiero;financial market
15.1.15;subir/bajar los intereses;to raise/lower interest
15.1.16;renta;rent
15.1.17;pagar impuestos;to pay taxes
15.1.18;comercio;commerce
15.1.19;transacciones comerciales y mercados;commercial transactions and markets
15.1.20;compra;purchase
15.1.21;venta;sale
15.1.22;importación;import
15.1.23;exportación;export
15.1.24;deber dinero;to owe money
15.1.25;tener/hacer un descuento;to have/make a discount
15.1.26;subir/bajar/aumentar/disminuir el precio;to raise/lower/increase/decrease price
15.1.27;comercio exterior;foreign trade
15.1.28;importar;to import
15.1.29;exportar;to export
15.1.30;publicidad;advertising
15.1.31;mercadotecnia;marketing
15.1.32;márquetin;marketing
15.1.33;cartel;poster
15.1.34;folleto;brochure
15.1.35;catálogo;catalog
15.1.36;exhibición;display, exhibition
15.1.37;publicitario;advertising agent
15.1.38;entidades;entities
15.1.39;empresas;companies
15.1.40;organización;organisation
15.1.41;compañía;company
15.1.42;agencia;agency
15.1.43;laboratorio;lab
15.1.44;empleado;employee
15.1.45;actividad;activity
15.1.46;producción;production
15.1.47;fabricación;manufacturing
15.1.48;puesto de trabajo;work station
15.1.49;huelga;strike
15.1.50;trabajador;employee, worker
15.1.51;producir;to produce
15.1.52;fabricar;to manufacture
15.1.53;energía;energy
15.1.54;construcción;construction
15.1.55;industria pesada;heavy industry
15.1.56;industria ligera;light industry
15.1.57;agricultura;agriculture
15.1.58;ganadería;animal breeding/raising, livestock farming
15.1.59;pesca;fishing
15.1.60;materia prima;raw material
15.1.61;pescador;fisherman
15.1.62;barco de pesca;fishing boat
15.1.63;marisco;shellfish
16.1.1;ciencia;science
16.1.2;tecnología;technology
16.1.3;estudio;study
16.1.4;análisis;analysis
16.1.5;método;method
16.1.6;materia;matter
16.1.7;invento;invention
16.1.8;descubrimiento;discovery
16.1.9;experimento;experiment
16.1.10;inventar;to invent
16.2.1;biología;biology
16.2.2;ecología;ecology
16.2.3;veterinaria;veterinary
16.2.4;genética;genetics
16.2.5;biólogo;biologist
16.2.6;veterinario;vet
16.2.7;ecológico;ecological
16.3.1;matemáticas;math
16.3.2;sumar;add
16.3.3;restar;substract
16.3.4;multiplicar;multiply
16.3.5;dividir;divide
16.4.1;informática;computer science, IT
16.4.2;nuevas tecnologías;new technologies
16.4.3;teclado;keyboard
16.4.4;tecla;key (button)
16.4.5;pantalla;screen
16.4.6;ratón;mouse
16.4.7;cibercafé;internet cafe
16.4.8;impresora láser/en color;laser/color printer
16.4.9;antivirus;antivirus
16.4.10;hacer clic (con el ratón);to click (with a mouse)
16.4.11;pulsar;to press
16.4.12;abrir/cerrar/guardar/eliminar un documiento;to open/close/save/delete a document
16.4.13;copiar/cortar/pegar/insertar/seleccionar/buscar una palabra;to copy/cut/paste/insert/select/search a word
16.4.14;(des)instalar un programa;(un)install a program
16.4.15;usuario;user
16.4.16;contraseña;password
16.4.17;bajar(se) un programa;download a program
16.4.18;descargar(se) un programa;download a program
16.5.1;física;physics
16.5.2;química;chemistry
16.5.3;electricidad;electricity
16.5.4;oro;gold
16.5.5;plata;silver
16.5.6;hierro;iron
16.5.7;físico;physical
16.5.8;químico;chemical
16.5.9;electrónico;electronic
16.5.10;(in)orgánico;(in)organic
16.5.11;símbolo/elemento químico;chemical symbol/element
16.5.12;estado sólido/liquido/gaseoso;solid/liquid/gas state
16.5.13;congelar(se);to freeze
16.5.14;evaporarse;to evaporate
17.1.1;gobierno;government
17.1.2;política;politics
17.1.3;sociedad;society
17.1.4;comunidad;community
17.1.5;sociología;sociology
17.1.6;sociólogo;sociologist
17.1.7;historiador;historian
17.1.8;político;politician
17.1.9;ciudadano;citizen
17.1.10;club;club
17.1.11;historia antigua/medieval/universal/conteporánea/del arte;ancient/medieval/universal/contemporary/art history
17.1.12;derechos;rights
17.1.13;deberes;duties
17.1.14;crisis;crisis
17.1.15;progreso;progress
17.1.16;privado;private
17.1.17;conducta social;social conduct
17.1.18;ayuda;help
17.1.19;cortesía;courtesy
17.1.20;amabilidad;kindness
17.1.21;educado;educated
17.1.22;buena persona;good person
17.1.23;respetar;to respect
17.2.1;instuticiones políticas;political institutions
17.2.2;órganos de gobierno;governing bodies
17.2.3;nación;nation
17.2.4;estado;state
17.2.5;provincia;province
17.2.6;distrito;district
17.2.7;ministro de Interior/de Defensa/de Educación/de Asuntos Exteriores;Minister of Interior/Defense/Education/Foreign Affairs
17.2.8;jefe de Estado;Head of State
17.2.9;vicepresidente;Vice President
17.2.10;alcalde;Mayor
17.2.11;senado;senate
17.2.12;congreso;congress
17.2.13;parlamento;parlament
17.2.14;Ministerio;ministry
17.2.15;Unión Europea (UE);EU
17.2.16;Organización de las Naciones Unidas (ONU);United Nations (UN)
17.2.17;embajador;ambassador
17.2.18;cónsul;consul
17.2.19;embajada;embassy
17.2.20;consulado;consulate
17.2.21;república;republic
17.2.22;monarquía;monarchy
17.2.23;democracia;democracy
17.2.24;dictadura;dictatorship
17.2.25;sindicato;union
17.2.26;partido de izquierdas/de derechas/de centro/de la oposición;left/right/center/oposition party
17.2.27;comunista;communist
17.2.28;socialista;socialist
17.2.29;conservador;conservative
17.2.30;demócrata;democrat
17.2.31;liberal republicano;liberal
17.2.32;gobernar;to govern, rule
17.3.1;ley;law
17.3.2;justicia;justice
17.3.3;constitución;constitution
17.3.4;ladrón;thief
17.3.5;terrorista;terrorist
17.3.6;asesino;murderer
17.3.7;robo;robbery
17.3.8;terrorismo;terrorism
17.3.9;grupo terrorista;terrorist group
17.3.10;atentado terrorista;terrorist attack
17.3.11;robar;to steal
17.3.12;matar;to kill
17.3.13;ser (i)legal;to be (il)legal
17.3.14;ir a la cárcel;to go to jail
17.4.1;ejército;army
17.4.2;capitán;captain
17.4.3;general;general
17.4.4;militar;military
17.4.5;soldado;soldier
17.4.6;guerra civil/mundial/de independencia;civil/world/independence war
17.4.7;pistola;gun
17.4.8;bomba;bomb
17.4.9;estar en guerra;to be at war
18.1.1;diciplinas;disciplines
18.1.2;cualidades artisticas;artistic qualities
18.1.3;obra/galería de arte;art work/gallery
18.1.4;arquitectura;architecture
